Game,last_Home,last_MP,last_FG,last_FGA,last_FG%,last_3P,last_3PA,last_3P%,last_FT,last_FTA,last_FT%,last_ORB,last_DRB,last_TRB,last_AST,last_STL,RESPONSEVAR,last_TOV,last_PF,last_PTS,last_+/-,last_TS%,last_eFG%,last_3PAr,last_FTr,last_ORB%,last_DRB%,last_TRB%,last_AST%,last_STL%,last_BLK%,last_TOV%,last_USG%,last_ORtg,last_DRtg,avg_Home,avg_MP,avg_FG,avg_FGA,avg_FG%,avg_3P,avg_3PA,avg_3P%,avg_FT,avg_FTA,avg_FT%,avg_ORB,avg_DRB,avg_TRB,avg_AST,avg_STL,avg_BLK,avg_TOV,avg_PF,avg_PTS,avg_+/-,avg_TS%,avg_eFG%,avg_3PAr,avg_FTr,avg_ORB%,avg_DRB%,avg_TRB%,avg_AST%,avg_STL%,avg_BLK%,avg_TOV%,avg_USG%,avg_ORtg,avg_DRtg,avg_def_Home,avg_def_ORtg,avg_def_FTr,avg_def_3PAr,avg_def_TS%,avg_def_eFG%,avg_def_FT/FGA,avg_def_FG,avg_def_FGA,avg_def_FG%,avg_def_2P,avg_def_2PA,avg_def_2P%,avg_def_3P,avg_def_3PA,avg_def_3P%,avg_def_FT,avg_def_FTA,avg_def_FT%,avg_def_PTS,avg_def_ORB%,avg_def_TRB%,avg_def_AST%,avg_def_STL%,avg_def_BLK%,avg_def_TOV%,season_def_Home,season_def_ORtg,season_def_FTr,season_def_3PAr,season_def_TS%,season_def_eFG%,season_def_FT/FGA,season_def_FG,season_def_FGA,season_def_FG%,season_def_2P,season_def_2PA,season_def_2P%,season_def_3P,season_def_3PA,season_def_3P%,season_def_FT,season_def_FTA,season_def_FT%,season_def_PTS,season_def_ORB%,season_def_TRB%,season_def_AST%,season_def_STL%,season_def_BLK%,season_def_TOV%
29,0.0,34.00933333333333,3.0,9.0,0.333,0.0,6.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,8.0,1.0,0.0,3.0,3.0,7.0,-21.0,0.354,0.333,0.667,0.222,0.0,10.6,5.6,28.3,1.5,0.0,23.3,17.0,86.0,137.0,1.0,39.00633333333333,5.0,12.0,0.417,3.0,6.0,0.5,1.0,2.0,0.5,2.0,2.0,4.0,9.0,2.0,0.0,1.0,1.0,14.0,18.0,0.543,0.542,0.5,0.167,5.5,5.2,5.3,30.3,2.3,0.0,7.2,14.7,128.0,111.0,0.6,112.62,0.21600000000000003,0.33280000000000004,0.5660000000000001,0.5386,0.16299999999999998,43.0,91.0,0.475,31.6,60.8,0.5234,11.4,30.2,0.391,14.8,19.6,0.7629999999999999,112.2,25.28,53.42,64.32000000000001,5.44,14.16,12.7,0.6,112.62,0.21600000000000003,0.33280000000000004,0.5660000000000001,0.5386,0.16299999999999998,43.0,91.0,0.475,31.6,60.8,0.5234,11.4,30.2,0.391,14.8,19.6,0.7629999999999999,112.2,25.28,53.42,64.32000000000001,5.44,14.16,12.7
30,0.0,34.00866666666667,7.0,11.0,0.636,2.0,4.0,0.5,0.0,0.0,0,3.0,7.0,10.0,10.0,5.0,1.0,2.0,1.0,16.0,34.0,0.727,0.727,0.364,0.0,10.6,18.9,15.3,35.0,6.5,2.2,15.4,15.2,148.0,84.0,0.0,37.008833333333335,5.0,16.0,0.313,2.0,6.0,0.333,1.0,1.0,1.0,1.0,3.0,4.0,11.0,1.0,0.0,2.0,3.0,13.0,-6.0,0.395,0.375,0.375,0.063,2.6,9.1,5.6,35.1,1.2,0.0,10.8,19.9,100.0,130.0,0.2,114.97999999999999,0.2578,0.35339999999999994,0.5798,0.5422,0.20519999999999997,42.6,90.2,0.47519999999999996,30.6,58.0,0.5267999999999999,12.0,32.2,0.38839999999999997,18.6,23.2,0.793,115.8,27.76,56.0,58.2,6.82,8.24,13.16,0.2,114.97999999999999,0.2578,0.35339999999999994,0.5798,0.5422,0.20519999999999997,42.6,90.2,0.47519999999999996,30.6,58.0,0.5267999999999999,12.0,32.2,0.38839999999999997,18.6,23.2,0.793,115.8,27.76,56.0,58.2,6.82,8.24,13.16
31,0.0,34.0045,4.0,11.0,0.364,2.0,7.0,0.286,0.0,0.0,0,0.0,5.0,5.0,4.0,3.0,2.0,4.0,1.0,10.0,-24.0,0.455,0.455,0.636,0.0,0.0,13.9,7.4,14.5,3.8,3.7,26.7,17.3,76.0,110.0,0.0,22.009333333333334,2.0,9.0,0.222,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,4.0,-3.0,0.222,0.222,0.556,0.0,0.0,0.0,0.0,10.8,4.4,0.0,25.0,20.9,51.0,93.0,0.6,112.24000000000001,0.2608,0.344,0.5626,0.5388,0.1742,43.2,90.4,0.4779999999999999,32.2,59.2,0.5412000000000001,11.0,31.2,0.3544,15.6,23.4,0.6636,113.0,20.22,46.28,63.220000000000006,7.7,7.660000000000001,11.540000000000001,0.6,112.24000000000001,0.2608,0.344,0.5626,0.5388,0.1742,43.2,90.4,0.4779999999999999,32.2,59.2,0.5412000000000001,11.0,31.2,0.3544,15.6,23.4,0.6636,113.0,20.22,46.28,63.220000000000006,7.7,7.660000000000001,11.540000000000001
32,0.0,39.00416666666667,9.0,16.0,0.563,5.0,9.0,0.556,0.0,2.0,0.0,2.0,4.0,6.0,3.0,2.0,0.0,3.0,6.0,23.0,-8.0,0.681,0.719,0.563,0.125,5.5,11.1,8.3,11.8,2.3,0.0,15.1,21.2,118.0,109.0,1.0,37.001,4.0,11.0,0.364,1.0,3.0,0.333,1.0,2.0,0.5,4.0,3.0,7.0,4.0,3.0,2.0,1.0,1.0,10.0,18.0,0.421,0.409,0.273,0.182,10.8,8.1,9.4,14.4,3.9,4.3,7.8,15.0,108.0,103.0,0.6,110.75999999999999,0.27120000000000005,0.3674,0.5424,0.5178,0.18020000000000003,41.2,89.8,0.4598000000000001,30.8,56.8,0.5526,10.4,33.0,0.3254,16.0,24.2,0.6603999999999999,108.8,29.54,51.55999999999999,61.4,8.5,9.34,12.180000000000001,0.6,110.75999999999999,0.27120000000000005,0.3674,0.5424,0.5178,0.18020000000000003,41.2,89.8,0.4598000000000001,30.8,56.8,0.5526,10.4,33.0,0.3254,16.0,24.2,0.6603999999999999,108.8,29.54,51.55999999999999,61.4,8.5,9.34,12.180000000000001
33,1.0,26.0015,5.0,10.0,0.5,2.0,6.0,0.333,0.0,0.0,0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,2.0,12.0,18.0,0.6,0.6,0.6,0.0,3.9,13.6,9.1,10.9,0.0,0.0,16.7,19.2,101.0,104.0,0.0,34.00933333333333,3.0,9.0,0.333,0.0,6.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,8.0,1.0,0.0,3.0,3.0,7.0,-21.0,0.354,0.333,0.667,0.222,0.0,10.6,5.6,28.3,1.5,0.0,23.3,17.0,86.0,137.0,0.6,107.8,0.2662,0.38960000000000006,0.5561999999999999,0.5092000000000001,0.2262,35.0,80.4,0.43760000000000004,23.6,49.4,0.4904,11.4,31.0,0.3638,18.0,21.2,0.8408000000000001,99.4,21.660000000000004,52.3,60.75999999999999,8.1,10.24,14.0,0.6,107.8,0.2662,0.38960000000000006,0.5561999999999999,0.5092000000000001,0.2262,35.0,80.4,0.43760000000000004,23.6,49.4,0.4904,11.4,31.0,0.3638,18.0,21.2,0.8408000000000001,99.4,21.660000000000004,52.3,60.75999999999999,8.1,10.24,14.0
34,1.0,27.002833333333335,2.0,10.0,0.2,0.0,7.0,0.0,0.0,0.0,0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,0.2,0.2,0.7,0.0,0.0,12.0,6.3,10.5,5.6,5.5,16.7,21.0,44.0,102.0,0.0,34.00866666666667,7.0,11.0,0.636,2.0,4.0,0.5,0.0,0.0,0,3.0,7.0,10.0,10.0,5.0,1.0,2.0,1.0,16.0,34.0,0.727,0.727,0.364,0.0,10.6,18.9,15.3,35.0,6.5,2.2,15.4,15.2,148.0,84.0,0.6,107.23999999999998,0.2476,0.3916,0.554,0.5194,0.19019999999999998,40.8,90.2,0.4528,28.6,54.6,0.522,12.2,35.6,0.3364,17.2,22.4,0.7762,111.0,16.759999999999998,48.62,69.84,7.779999999999999,6.62,12.18,0.6,107.23999999999998,0.2476,0.3916,0.554,0.5194,0.19019999999999998,40.8,90.2,0.4528,28.6,54.6,0.522,12.2,35.6,0.3364,17.2,22.4,0.7762,111.0,16.759999999999998,48.62,69.84,7.779999999999999,6.62,12.18
35,0.0,24.001833333333334,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.0,3.0,3.0,4.0,0.0,0.0,2.0,2.0,6.0,2.0,0.436,0.417,0.667,0.333,0.0,11.9,6.9,18.5,0.0,0.0,22.5,16.2,89.0,101.0,0.0,34.0045,4.0,11.0,0.364,2.0,7.0,0.286,0.0,0.0,0,0.0,5.0,5.0,4.0,3.0,2.0,4.0,1.0,10.0,-24.0,0.455,0.455,0.636,0.0,0.0,13.9,7.4,14.5,3.8,3.7,26.7,17.3,76.0,110.0,0.6,113.75999999999999,0.2648,0.32739999999999997,0.567,0.5286,0.20919999999999997,44.0,93.6,0.46959999999999996,33.2,63.2,0.5198,10.8,30.4,0.3528,19.8,25.2,0.7984,118.6,27.360000000000003,55.779999999999994,61.8,7.12,12.24,12.24,0.6,113.75999999999999,0.2648,0.32739999999999997,0.567,0.5286,0.20919999999999997,44.0,93.6,0.46959999999999996,33.2,63.2,0.5198,10.8,30.4,0.3528,19.8,25.2,0.7984,118.6,27.360000000000003,55.779999999999994,61.8,7.12,12.24,12.24
36,0.0,36.00833333333333,8.0,13.0,0.615,4.0,6.0,0.667,0.0,0.0,0,0.0,9.0,9.0,12.0,2.0,1.0,2.0,0.0,20.0,3.0,0.769,0.769,0.462,0.0,0.0,22.1,12.5,45.2,2.5,1.8,13.3,17.0,149.0,106.0,0.0,39.00416666666667,9.0,16.0,0.563,5.0,9.0,0.556,0.0,2.0,0.0,2.0,4.0,6.0,3.0,2.0,0.0,3.0,6.0,23.0,-8.0,0.681,0.719,0.563,0.125,5.5,11.1,8.3,11.8,2.3,0.0,15.1,21.2,118.0,109.0,0.6,120.46,0.3262,0.30619999999999997,0.5758000000000001,0.528,0.26280000000000003,43.0,91.6,0.47120000000000006,32.6,63.4,0.515,10.4,28.2,0.38120000000000004,24.0,29.8,0.7995999999999999,120.4,24.76,47.94,55.31999999999999,8.959999999999999,8.059999999999999,8.580000000000002,0.6,120.46,0.3262,0.30619999999999997,0.5758000000000001,0.528,0.26280000000000003,43.0,91.6,0.47120000000000006,32.6,63.4,0.515,10.4,28.2,0.38120000000000004,24.0,29.8,0.7995999999999999,120.4,24.76,47.94,55.31999999999999,8.959999999999999,8.059999999999999,8.580000000000002
37,1.0,42.007,7.0,16.0,0.438,3.0,8.0,0.375,2.0,2.0,1.0,2.0,3.0,5.0,6.0,1.0,0.0,4.0,4.0,19.0,-3.0,0.563,0.531,0.5,0.125,4.2,6.9,5.5,24.0,1.0,0.0,19.2,19.7,101.0,110.0,1.0,26.0015,5.0,10.0,0.5,2.0,6.0,0.333,0.0,0.0,0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,2.0,12.0,18.0,0.6,0.6,0.6,0.0,3.9,13.6,9.1,10.9,0.0,0.0,16.7,19.2,101.0,104.0,0.6,116.12,0.24820000000000003,0.3128,0.5836,0.5484,0.1988,45.6,93.6,0.4862,34.2,64.6,0.5239999999999999,11.4,29.0,0.38720000000000004,18.8,23.6,0.8088,121.4,27.419999999999998,55.94,60.379999999999995,7.3,12.360000000000001,12.02,0.6,116.12,0.24820000000000003,0.3128,0.5836,0.5484,0.1988,45.6,93.6,0.4862,34.2,64.6,0.5239999999999999,11.4,29.0,0.38720000000000004,18.8,23.6,0.8088,121.4,27.419999999999998,55.94,60.379999999999995,7.3,12.360000000000001,12.02
38,1.0,31.0035,6.0,14.0,0.429,1.0,6.0,0.167,0.0,4.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0,1.0,13.0,-20.0,0.412,0.464,0.429,0.286,0.0,6.5,3.2,24.3,0.0,0.0,11.3,22.5,89.0,116.0,1.0,27.002833333333335,2.0,10.0,0.2,0.0,7.0,0.0,0.0,0.0,0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,0.2,0.2,0.7,0.0,0.0,12.0,6.3,10.5,5.6,5.5,16.7,21.0,44.0,102.0,0.2,104.72,0.22880000000000003,0.38960000000000006,0.5543999999999999,0.5282,0.16499999999999998,40.6,88.8,0.458,28.2,54.2,0.5226000000000001,12.4,34.6,0.366,14.4,20.0,0.7272000000000001,108.0,20.82,48.2,59.68000000000001,9.68,6.94,15.12,0.2,104.72,0.22880000000000003,0.38960000000000006,0.5543999999999999,0.5282,0.16499999999999998,40.6,88.8,0.458,28.2,54.2,0.5226000000000001,12.4,34.6,0.366,14.4,20.0,0.7272000000000001,108.0,20.82,48.2,59.68000000000001,9.68,6.94,15.12
